,Open,High,Low,Close,Volume
20210511,210000,222500,154000,154500,11320278
20210512,152000,160000,141000,147500,4973674
20210513,145500,149500,142500,144000,1853703
20210514,146500,148000,140000,141000,1510892
20210517,142500,143000,138000,138000,931047
20210518,139000,146500,138500,144000,1474901
20210520,145000,146500,141000,142000,585820
20210521,144000,145000,142000,143500,468288
20210524,144500,145000,141000,142500,368061
20210525,143500,144000,141000,142000,300026
20210526,141000,142000,140500,141500,298091
20210527,141500,144500,141500,142000,298994
20210528,143000,146500,142000,145000,716415
20210531,145500,149000,145500,149000,628140
20210601,149500,151000,147500,150000,497546
20210602,151000,151000,147000,149500,397954
20210603,149500,150500,148000,149500,294278
20210604,149000,149500,147000,147500,276515
20210607,148000,148500,143000,143000,469107
20210608,142000,144000,141500,143000,243816
20210609,143000,143500,142000,142000,223769
20210610,142000,144500,141500,142500,493039
20210611,141500,157500,139500,157500,1458033
20210614,151500,153000,148000,148000,740629
20210615,149000,151500,148500,149500,417175
20210616,149000,153000,148000,152000,476285
20210617,151500,157000,150000,156000,648454
20210618,156500,159500,154500,158000,622211
20210621,156500,160500,155500,158500,431581
20210622,160000,160500,156000,159000,343775
20210623,159000,167500,157000,166500,1317043
20210624,167000,173500,165000,168500,902489
